resID,choID,atmilitary1,atreligion1,ated1,atprof1,atrace1,atmale1,atage1,atinc1,rating1,selected1,atmilitary2,atreligion2,ated2,atprof2,atrace2,atmale2,atage2,atinc2,rating2,selected2
A10ZOUOZZ3EOAJ,1020,Did Not Serve,Mainline protestant,Small college,Lawyer,Native American,Female,52,210,5,1,Served,Mainline protestant,Small college,Doctor,Native American,Female,36,65,3,0
A10ZOUOZZ3EOAJ,1021,Served,Mormon,No BA,Car dealer,White,Male,68,5100,5,1,Did Not Serve,Evangelical protestant,State university,High school teacher,Black,Female,60,32,3,0
A10ZOUOZZ3EOAJ,1022,Served,Evangelical protestant,No BA,Doctor,White,Female,45,32,4,0,Did Not Serve,Jewish,Baptist college,Lawyer,White,Male,52,32,5,1
A10ZOUOZZ3EOAJ,1023,Served,Catholic,State university,Farmer,Hispanic,Male,75,5100,5,1,Did Not Serve,Evangelical protestant,Community college,Farmer,Black,Male,68,92,3,0
A10ZOUOZZ3EOAJ,1024,Did Not Serve,Catholic,Baptist college,High school teacher,White,Female,36,32,3,0,Did Not Serve,Evangelical protestant,Ivy League university,Business owner,Hispanic,Male,36,65,5,1
A10ZOUOZZ3EOAJ,1025,Did Not Serve,Mormon,No BA,Doctor,White,Male,36,92,3,0,Served,Jewish,State university,High school teacher,White,Female,45,210,5,1
A11F3HMX0N23V4,154,Did Not Serve,Mainline protestant,Ivy League university,Car dealer,Hispanic,Male,52,5100,4,1,Did Not Serve,Evangelical protestant,Community college,Lawyer,Hispanic,Female,52,65,3,0
A11F3HMX0N23V4,155,Served,Mormon,Community college,Car dealer,Black,Male,60,92,4,1,Did Not Serve,Catholic,Small college,Farmer,Black,Male,60,92,3,0
A11F3HMX0N23V4,156,Did Not Serve,Mormon,Baptist college,Farmer,White,Male,75,92,3,0,Did Not Serve,None,No BA,High school teacher,Black,Male,68,210,1,1
A11F3HMX0N23V4,157,Served,Evangelical protestant,Small college,High school teacher,Hispanic,Male,52,32,4,0,Did Not Serve,Catholic,Community college,Doctor,Caucasian,Male,36,92,2,1
A11F3HMX0N23V4,158,Served,Mainline protestant,Baptist college,High school teacher,Black,Male,52,92,4,0,Served,Catholic,Baptist college,Car dealer,Native American,Male,36,65,3,1
A12H2RTXSAQPRH,234,Did Not Serve,Mormon,State university,High school teacher,Black,Male,45,32,4,1,Did Not Serve,Mormon,State university,Farmer,Caucasian,Male,45,54,2,0
A12H2RTXSAQPRH,235,Served,Evangelical protestant,Baptist college,Lawyer,Caucasian,Male,45,32,5,1,Served,None,No BA,Farmer,Black,Male,36,92,2,0
A12H2RTXSAQPRH,236,Did Not Serve,Catholic,No BA,Doctor,White,Female,68,5100,6,0,Did Not Serve,Mormon,State university,Business owner,Hispanic,Female,52,210,5,1
