,"nom.famille","QtG","NewsChannels","RadioTV","Specialized","Interv_Committee","Presence_Committee","Submitted_Amdts","Reports","WrittenQ","Rooms","twitt_flwrs","NationPress","LocPress","OfficialFunctions","Interv_Plenary","NbVotes","Gender","Age","PolGroup","Career","Education"
"1","Morenas","0.769426349597021",0,0,0,"-0.466491299385741","0.10403739910625",8,1,21,3,"940.999999999997",2,6,0,15,223,"M",35,"LREM","6 - PolExp","AboveMaster"
"2","Quatennens","-0.346479464337618",23,25,6,"0.894306586205591","0.0478171027262148",209,0,41,0,"43500.0000000004",138,114,0,280,286,"M",27,"LFI","6 - PolExp","BA_or_less"
"3","Taquet","-0.66408821840219",2,0,2,"-0.67370195549959","-0.870774607540544",49,0,13,40,"4597.00000000002",12,26,0,43,282,"M",40,"LREM","1 - Novices","AboveMaster"
"4","Firmin Le Bodo","0.905082639964564",0,0,0,"-0.0524155521824425","0.323394615806242",96,1,25,8,"3828.99999999999",11,52,0,140,240,"F",49,"LC","1 - 2ndCareer","NoInfo"
"5","Thill","2.20294091759623",0,0,0,"-0.596578129916987","0.732510277940629",0,0,21,3,"3571.00",9,8,0,13,281,"F",53,"LREM","1 - Novices","BA_or_less"
"6","Kuric","-2.0976027864014",0,0,0,"-0.663416562210807","-1.34848494238887",6,2,15,2,"2885.99999999998",5,2,0,17,253,"F",30,"LREM","1 - Novices","BA_or_less"
"7","Bruneel","0.729234492969466",0,0,1,"-0.209177687234932","-1.26025784559909",46,1,24,6,"1345.00",27,57,0,140,221,"M",65,"GDR","1 - LocalRoots","BA_or_less"
"8","David","1.34936268627456",0,0,0,"0.396614707388518","1.04329835527982",0,2,37,6,"854.00",6,66,0,72,255,"M",68,"NG","1 - LocalRoots","AboveMaster"
"9","Perea","-0.66408821840219",0,0,0,"-0.126504299557878","-0.35094305754855",37,0,10,23,"2899.00000000001",3,180,0,37,130,"M",46,"LREM","1 - 2ndCareer","Master"
"10","Ramadier","-0.886681434341368",0,0,0,"-0.387712976194871","-0.227760410353813",153,0,10,18,"903.000000000003",4,11,0,101,559,"M",59,"LR","1 - LocalRoots","NoInfo"
"11","Tourret","-0.66408821840219",0,0,3,"-0.434006206474387","-1.25972041504068",25,2,7,9,"3098.00000000001",30,68,0,67,86,"M",70,"LREM","5 - Incumbent","Master"
"12","Gaillot","-0.66408821840219",0,0,0,"-0.614531821850337","0.415253786832918",11,1,5,15,"1861.00",0,7,0,23,458,"F",46,"LREM","1 - Novices","BA_or_less"
