,Elected,Gender,YearBirth,PoliticalParty,TypeofElection,Region,Income2008,Income2009,Income2010,Income2011,Income2012,PoliticalSelfPositioning,PersonalCampaign,CountryofBirth,OccupationalStatus,HighestDiploma,Q1_WomenQuotaCompanies,Q2_RetirementIncrease,Q3_WorkWeekTime,Q4_CompanyChoiceLayoff,Q5_UnemploymentBenefits,Q6_YouthSalary,Q7_PupilsGrade,Q8_StateSchools,Q9_HighSchool2College,Q10_PrivateSchools,Q11_BehaviorGrade,Q12_StateHealthCare,Q13_ChildbirthAllowance,Q14_HelpDisabilities,Q15_ProfitsHealthcare,Q16_UndocumentedHealth,Q17_CapitalTax,Q18_FiscalDeduction,Q19_PrivatizeCompanies,Q20_ParentalLeave.,Q21_SupportRural,Q22_NuclearPowerLess,Q23_DieselTax,Q24_WindPowerLess,Q25_Wolves,Q26_FacilitateAsylum,Q27_LessRefugees,Q28_MunicipalitiesRefugees,Q29_PolicingRefugees,Q30_SwedenEU,Q31_DefenseSpending,Q32_SwedenNATO,Q33_FreeMuseum,Q34_RighttoCopy,Q35_MonitorInternet,Q36_WineSale,Q37_IncomeInequalities,Q38_MoreMarket,Q39_WomenPower,Q40_PunishmentMore,Q41_Multiculti,Q42_ChristianInfluence,Q43_ReturnEducation,Q44_GayRights,Q45_ClimatePriority
1,X,F,1956,SocialDemocrats (S),R ,SkÃ¥ne läns södra,322995,296630,343432,667652,685922,CenterLeft ,No,Sverige,FullTimePolitician ,Vocational_Short,InFavor,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,Against,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor
2,X,F,1974,SwedishDemocrats (SD),R ,Hela landet 2,161490,167574,155804,200460,202602,NeitherLeftnorRight,Yes ,Sverige,PrivateSector ,Vocational_Short,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,Against,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,Against,InFavor,Against,Against
3,X,M,1961,SocialDemocrats (S),R ,Östergötlands län,336508,375228,480228,681381,693164,CenterLeft ,No,Sverige,FullTimePolitician ,HighSchool ,InFavor,Against,Against,Against,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,Against,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor
4,X,M,1952,SocialDemocrats (S),R ,Örebro län,652212,687639,675804,688511,727227,CenterLeft ,No,Sverige,FullTimePolitician ,HighSchool ,InFavor,Against,Against,Against,InFavor,Against,Against,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,Against,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor
5,X,M,1967,ModerateRight (M),R ,Gävleborgs län,1090754,1105056,1003017,1141164,1033315,ClearlyRight,Yes ,Sverige,FullTimePolitician ,HighSchool ,Against,InFavor,Against,Against,Against,Against,InFavor,Against,Against,Against,Against,Against,Against,Against,Against,Against,Against,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,Against,Against,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against
6,X,M,1987,ModerateRight (M),R ,Södermanlands län,67639,215773,486632,530180,481032,ClearlyRight,Yes ,Sverige,FullTimePolitician ,HighSchool ,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,Against,Against,Against,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,Against,Against,InFavor,Against,Against,InFavor,Against,Against,Against,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against
7,X,F,1950,ModerateRight (M),R ,Kronobergs län,904198,934835,912773,939913,960833,ClearlyRight,Yes ,,FullTimePolitician ,HighSchool ,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,Against,InFavor,InFavor,Against
8,X,M,1987,ChristianDemocrats (KD),R ,Jönköpings län,120470,50517,326960,670791,688392,ClearlyRight,Yes ,Sverige,FullTimePolitician ,HighSchool ,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,Against,Against,InFavor,InFavor,Against,InFavor,InFavor,Against,Against,InFavor,Against,Against,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,InFavor,Against
9,X,F,1966,SocialDemocrats (S),R ,Göteborgs kommun,680697,718483,690191,794139,847389,CenterLeft ,No,Sverige,FullTimePolitician ,HighSchool ,InFavor,Against,Against,Against,InFavor,Against,Against,InFavor,InFavor,InFavor,Against,Against,InFavor,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,Against,Against,Against,InFavor,Against,Against,InFavor,Against,Against,InFavor,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor
10,X,M,1961,Peoples Party (F),R ,Hallands län,554744,575738,600059,486112,491522,CenterRight ,Yes ,Sverige,FullTimePolitician ,HighSchool ,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,Against,InFavor,Against,InFavor,Against,Against,InFavor,Against,InFavor,Against,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,Against,Against,Against,Against,InFavor,InFavor,InFavor,Against,InFavor,InFavor,InFavor,InFavor,InFavor,Against,InFavor,Against,InFavor,InFavor,Against
