"","X3318","X3418","X3503","X3509","X3524","X3526","X3532","X3537","X3552","X3561","X3601","X3603","X3604","X3605","X3609","X3610","X3611","X3612","X3613","X3614","X3615","X3623","X3629","X3630","X3632","X3652","X3691"
"3318",NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"3418",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3503",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3509",0,1,0,NA,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0
"3524",0,0,1,1,NA,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1
"3526",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3532",0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3537",0,0,1,1,0,0,0,NA,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
"3552",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3601",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3603",0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3604",0,0,0,0,0,0,1,0,0,NA,1,0,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"3605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3610",NA,0,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,0,NA,0,0,NA,0,NA,1,NA,NA,NA,0,NA
"3611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3612",0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,1,NA,0,0,0,0,0,0,0,1,1
"3613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"3614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"3615",0,0,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,0
"3623",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"3629",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"3630",0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0
"3632",0,0,0,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,1,1,1,NA,0,0
"3652",0,0,1,0,0,1,NA,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,NA,0
"3691",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
