"","X4110","X4301","X4302","X4303","X4306","X4308","X4310","X4314","X4316","X4317","X4318","X4319","X4321","X4323","X4325","X4326","X4327","X4328","X4332","X4333","X4334","X4361","X4362"
"4110",NA,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"4301",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4302",0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"4303",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4306",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4308",0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4310",0,0,0,0,0,0,NA,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
"4314",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4316",0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,1,1,0,1,0
"4317",0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0
"4318",0,0,0,0,0,0,1,0,0,1,NA,0,1,NA,0,0,0,0,0,0,1,0,0
"4319",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"4321",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"4323",0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"4325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"4326",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"4327",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"4328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"4332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0
"4333",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"4334",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,NA,0,0
"4361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"4362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
