"","X7804","X7805","X7806","X7807","X7808","X7814","X7817","X7818","X7821","X7822","X7824","X7827","X7830","X7832"
"7804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7805",1,NA,0,0,0,0,0,0,0,0,1,0,0,0
"7806",1,0,NA,0,0,0,0,0,0,0,1,0,0,0
"7807",1,0,0,NA,1,0,0,0,0,0,1,0,0,0
"7808",NA,0,0,0,NA,0,0,0,1,0,1,1,0,1
"7814",0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"7817",0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"7818",0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"7821",1,0,0,0,1,0,0,0,NA,0,0,0,0,0
"7822",1,0,0,0,0,0,0,0,0,NA,0,0,0,1
"7824",1,0,0,0,1,0,0,0,0,0,NA,0,0,0
"7827",1,0,0,0,0,0,0,0,0,0,0,NA,0,0
"7830",1,0,0,0,1,0,0,0,0,0,1,0,NA,0
"7832",1,0,0,0,1,0,0,0,0,0,0,0,0,NA
