"","X2201","X2202","X2203","X2207","X2208","X2210","X2211","X2213","X2215","X2217","X2219","X2220","X2221","X2223","X2224","X2272","X2273","X2302","X2308","X2309","X2313","X2315","X2328","X2329","X2366","X2415","X2519","X2915"
"2201",NA,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"2202",0,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0
"2203",0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2208",0,0,0,1,NA,0,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,1
"2210",0,0,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,1,NA,0,0,0,NA,0,NA,0,0,1,0,0
"2211",1,0,0,1,1,0,NA,1,1,0,1,1,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1
"2213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2215",1,0,0,0,0,0,1,0,NA,0,1,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"2217",1,0,1,0,0,0,0,1,1,NA,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1
"2219",1,1,0,0,0,0,0,0,1,1,NA,1,0,1,0,0,NA,0,0,1,0,0,0,0,0,0,0,1
"2220",0,1,0,0,0,0,1,0,0,0,1,NA,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0
"2221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2223",0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2224",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0
"2272",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,1,0,0
"2273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,0,1,1,0,0,0
"2308",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,NA,0,0,0,0,1,1,0,0,0
"2309",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,0,0,NA,1,0,0,0,0,0,1,0
"2313",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,NA,0,0,0,0,0,0,0
"2315",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,NA,1,1,1,0,0,0
"2328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2415",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,NA,0,0
"2519",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,1,1,1,1,1,0,1,1,0,NA,0
"2915",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA
