"","X3401","X3402","X3403","X3404","X3405","X3406","X3407","X3408","X3409","X3410","X3411","X3412","X3413","X3414","X3415","X3416","X3417","X3418","X3419","X3420","X3421","X3422","X3423","X3424","X3425","X3426","X3427","X3428","X3429","X3430","X3431","X3432","X3433","X3434","X3435","X3436"
"3401",NA,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1
"3402",0,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"3403",0,1,NA,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
"3404",0,1,1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"3405",0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"3406",0,1,1,1,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"3407",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3408",0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"3409",0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0
"3410",0,1,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"3411",1,0,0,0,0,0,1,1,0,1,NA,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0
"3412",0,0,0,1,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"3413",0,0,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"3414",0,0,0,0,0,0,0,1,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"3415",0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0
