"","X4403","X4405","X4407","X4408","X4409","X4410","X4411","X4412","X4415","X4416","X4419","X4422","X4423","X4425","X4427","X4430","X4432","X4433","X4438","X4462","X4463","X4465","X4466","X4467"
"4403",NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA
"4405",0,NA,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,NA
"4407",1,1,NA,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,NA
"4408",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4409",0,1,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,NA
"4410",0,0,0,0,0,NA,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,NA
"4411",0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
"4412",0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA
"4415",0,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
"4416",0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"4419",0,1,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,NA,0,0,NA
"4422",1,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA
"4423",0,1,0,0,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,1,0,NA
"4425",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA
"4427",0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,1,0,0,NA
"4430",0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,NA
"4432",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
"4433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,1
"4438",0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,NA,0,1,0,0,1
"4462",0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,NA,1,1,0,NA
"4463",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,NA,1,0,NA
"4465",0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,NA,0,NA
"4466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
"4467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
