"","X6201","X6202","X6203","X6204","X6205","X6206","X6207","X6208","X6209","X6210","X6211","X6212","X6213","X6214","X6215","X6216","X6217","X6218","X6219","X6220","X6221","X6222","X6223","X6224","X6225","X6226","X6227","X6228","X6229","X6230","X6231","X6232","X6233","X6234"
"6201",NA,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0
"6202",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6203",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"6204",1,0,0,NA,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"6205",0,0,0,0,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0
"6206",1,0,0,0,1,NA,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
"6207",0,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"6208",1,0,0,0,0,0,0,NA,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
"6209",0,0,0,0,0,1,1,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0
"6210",1,0,0,0,0,0,0,0,0,NA,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6211",0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6212",1,0,0,0,1,1,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
"6213",1,0,0,0,0,0,0,0,0,1,1,0,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6214",0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"6215",0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
"6216",0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"6217",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6218",0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1
"6219",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6220",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,1
"6221",1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"6222",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0
"6223",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,1,0,0,0,0,0
"6224",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,1,0,1,1
"6225",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0
"6226",1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,1,0,1,1,1,1,0
"6227",0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0
"6228",0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0,0,1,0,1,1
"6229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"6230",0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,NA,0,0,0,0
"6231",0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,NA,1,1,1
"6232",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,0
"6233",0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,NA,0
"6234",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,NA
