"","X7330","X7615","X7701","X7707","X7708","X7709","X7712","X7714","X7715","X7716","X7718","X7719","X7721","X7722","X7723","X7725","X7729","X7730","X7731","X7760","X7761","X7762","X7763","X7764","X7765"
"7330",NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"7615",0,NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"7701",1,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7707",0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"7708",0,0,0,0,NA,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0
"7709",0,1,0,0,0,NA,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
"7712",0,1,0,0,0,1,NA,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"7714",0,0,0,0,1,1,0,NA,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
"7715",1,1,0,0,1,0,0,1,NA,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1
"7716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7718",0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"7719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7721",0,0,0,0,1,0,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,0
"7722",0,0,0,0,0,1,1,0,0,0,0,1,0,NA,0,0,0,1,0,1,0,0,0,0,0
"7723",0,0,0,0,1,0,0,1,1,1,1,1,0,1,NA,0,0,0,0,0,0,0,1,1,0
"7725",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,1,0,0,0,0,0,0,0,0
"7729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,1
"7730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"7760",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,0
"7761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,0,1,0,1
"7762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"7763",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,NA,1,0
"7764",0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,NA,0
"7765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,NA
