"","X7802","X7804","X7805","X7806","X7807","X7808","X7809","X7811","X7812","X7813","X7814","X7816","X7817","X7818","X7819","X7821","X7822","X7823","X7824","X7825","X7826","X7827","X7828","X7829","X7830","X7832","X7833","X7834","X7835"
"7802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7804",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
"7805",0,0,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"7806",0,0,0,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"7807",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7808",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"7809",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"7811",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"7812",0,0,0,0,1,1,0,0,NA,0,NA,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1
"7813",0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"7814",0,0,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0
"7816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7817",0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7818",0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"7819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7821",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,1,1,0,0,1,0,0,0,0,0,0,0
"7822",0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
"7823",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,NA,1,0,0,0,0,0,1,0,0,0,0
"7824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0
"7825",0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0
"7826",0,0,0,1,0,0,1,0,0,1,0,NA,0,0,0,0,1,0,0,0,NA,0,0,0,0,1,0,0,1
"7827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,1,0,0,0,0
"7828",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,0,0,NA,1,0,0,1,0,0
"7829",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,NA,0
"7830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,NA,0,0,0,0
"7832",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,0,1
"7833",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"7834",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"7835",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA
