"","X5101","X5102","X5106","X5108","X5109","X5111","X5114","X5117","X5118","X5119","X5120","X5123","X5124","X5127","X5130","X5132","X5151","X5160","X5161","X5162","X5163","X5165","X5170","X5171","X5172","X5173","X5174","X5175"
"5101",NA,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5102",1,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"5106",1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"5108",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5109",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
"5111",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5114",0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5117",0,0,0,0,0,0,0,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5118",1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5119",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5120",0,0,0,0,0,1,0,0,1,0,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5123",0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5124",0,0,0,0,0,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5127",1,1,0,0,0,1,0,1,0,0,1,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"5130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0
"5132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"5151",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0
"5160",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0
"5161",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0
"5162",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,NA,0,0,0,0,0,1,0,1
"5163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"5165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0
"5170",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"5171",1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,NA,0,0,1,0
"5172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1
"5174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"5175",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,NA
