"","X7101","X7102","X7104","X7105","X7108","X7110","X7112","X7113","X7114","X7115","X7116","X7117","X7119","X7120","X7121","X7122","X7124","X7126","X7128","X7129","X7130","X7131","X7160","X7161","X7162","X7164"
"7101",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7102",1,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"7104",0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"7105",0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"7108",0,0,0,0,NA,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"7110",0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7112",0,0,0,0,0,1,NA,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
"7113",1,1,1,1,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7114",0,0,1,1,0,0,0,0,NA,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1
"7115",0,0,1,1,1,1,1,0,1,NA,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0
"7116",0,0,0,0,0,1,0,0,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"7117",0,0,0,0,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"7119",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0
"7120",0,0,0,0,1,1,0,0,0,0,1,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0
"7121",0,0,1,1,0,0,1,0,0,0,0,1,1,0,NA,0,0,0,0,1,0,0,1,0,0,1
"7122",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0
"7124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,1,0,0
"7126",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,0,0
"7128",0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,NA,1,0,0,0,1,0,0
"7129",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1
"7130",0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,NA,0,0,0,0,0
"7131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"7160",1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,NA,0,0,0
"7161",0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,NA,1,0
"7162",0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,NA,1
"7164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
