"","X7101","X7102","X7103","X7104","X7105","X7106","X7107","X7108","X7109","X7110","X7111","X7112","X7113","X7114","X7115","X7116","X7117","X7118","X7119","X7120","X7121","X7122","X7124","X7125","X7126","X7127","X7128","X7129","X7130","X7131"
"7101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7102",1,NA,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
"7103",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7104",1,0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7105",0,0,0,1,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"7106",0,0,0,0,0,NA,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"7107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7108",0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"7109",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"7110",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7111",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7112",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7113",1,1,0,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0
"7114",1,1,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7115",0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7116",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7117",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,1,0
"7118",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"7119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"7120",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,1,0,1,0,1,0
"7121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7124",0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,1
"7125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7126",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"7127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0
"7128",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0
"7129",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"7130",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"7131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
