"","X7352","X7601","X7602","X7604","X7609","X7616","X7617","X7619","X7620","X7622","X7623","X7625","X7626","X7627","X7628","X7629","X7631","X7632","X7633","X7660","X7661","X7662","X7663","X7664","X7665"
"7352",NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"7601",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7602",0,0,NA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7604",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"7609",0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7616",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7617",0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7619",0,0,1,0,1,1,0,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"7620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7622",0,0,0,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7623",1,1,1,0,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7625",0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"7626",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"7627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7628",0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0
"7629",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0
"7631",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,1,1,0
"7632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"7633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0
"7660",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,0,0,0,0,1
"7661",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,1,0,0
"7662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7663",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,NA,1,0
"7664",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
