"","X2001","X2006","X2008","X2010","X2011","X2012","X2013","X2017","X2019","X2023","X2051","X2052","X2061","X2091","X2093"
"2001",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"2008",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"2010",1,0,0,NA,0,0,0,1,0,0,0,0,1,0,1
"2011",1,1,1,0,NA,1,1,1,1,1,1,1,1,1,1
"2012",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"2013",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2017",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"2019",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"2023",1,1,1,0,0,1,1,1,1,NA,1,1,1,1,1
"2051",0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0
"2052",0,0,0,0,0,0,1,0,0,0,0,NA,1,0,0
"2061",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"2091",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"2093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
