"","X2001","X2006","X2008","X2010","X2011","X2012","X2013","X2017","X2019","X2023","X2051","X2052","X2061","X2091","X2093"
"2001",NA,1,0,0,0,0,1,0,1,1,1,1,1,1,1
"2006",1,NA,0,0,0,0,0,0,0,1,0,0,0,0,0
"2008",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"2010",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"2011",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"2012",1,0,1,0,0,NA,0,1,1,0,0,0,0,1,0
"2013",0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0
"2017",0,0,0,0,0,0,0,NA,0,0,1,0,0,0,1
"2019",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"2023",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"2051",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"2052",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0
"2061",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"2091",1,0,1,0,0,1,0,1,1,0,0,0,0,NA,0
"2093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
