"","X2501","X2502","X2503","X2504","X2506","X2510","X2511","X2512","X2514","X2517","X2518","X2524","X2525","X2529","X2530","X2531","X2561","X2562","X2563","X2564","X2565","X2566","X2567"
"2501",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2503",0,0,NA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2504",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2506",0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2510",0,0,0,0,0,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2511",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2512",1,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2514",0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2517",0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"2518",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"2524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2525",1,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"2529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2530",0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0
"2531",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1
"2561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"2563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"2564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2565",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2567",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
