"","X7804","X7805","X7806","X7807","X7808","X7814","X7817","X7818","X7821","X7822","X7824","X7827","X7830","X7832"
"7804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7805",0,NA,0,0,0,1,1,0,0,1,0,1,1,0
"7806",0,0,NA,0,0,0,0,0,0,0,0,0,0,0
"7807",0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"7808",0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"7814",0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"7817",0,1,0,0,0,0,NA,1,0,1,0,0,0,0
"7818",0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"7821",0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"7822",0,0,0,0,1,0,1,0,0,NA,0,0,0,0
"7824",0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"7827",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"7830",0,0,0,1,0,0,0,0,0,0,0,1,NA,0
"7832",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
