"","X1301","X1302","X1303","X1304","X1305","X1306","X1307","X1308","X1309","X1310","X1311","X1312","X1313","X1314","X1315","X1316","X1317","X1318","X1319","X1320","X1321","X1322","X1324","X1325","X1327","X1328","X1329","X1331","X1332","X1333","X1334","X1335","X1361","X1391"
"1301",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1302",0,NA,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1303",1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"1304",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1305",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"1306",0,0,0,0,0,NA,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1
"1307",1,1,0,0,1,1,NA,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1
"1308",1,0,0,0,0,1,0,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
"1309",0,0,0,0,0,1,0,1,NA,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
"1310",1,0,0,0,0,1,0,0,1,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1
"1311",1,0,0,0,0,0,0,0,1,0,NA,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1312",1,0,0,0,0,1,0,1,1,0,1,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
"1313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1314",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1315",0,1,0,0,0,0,0,0,1,0,1,0,0,1,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"1316",1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,NA,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
"1317",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1318",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1319",1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,NA,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1
"1320",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"1321",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,1,0,0
"1322",0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,1,0,0,1
"1324",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0
"1325",1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"1327",0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,NA,0,1,1,1,1,1,1,0,1
"1328",0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,0,0,0,0,1,0,1,0
"1329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1331",1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,1,0,1,1,0,1
"1332",1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,NA,0,1,1,0,1
"1333",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,NA,1,1,0,0
"1334",1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,NA,0,0,1
"1335",0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,NA,0,1
"1361",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"1391",0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
