"","X1401","X1403","X1404","X1405","X1406","X1407","X1408","X1409","X1410","X1411","X1413","X1414","X1416","X1417","X1418","X1419","X1420","X1421","X1422","X1423","X1424","X1425","X1426","X1427","X1428","X1429","X1430","X1431","X1432","X1433","X1434","X1435","X1488"
"1401",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1403",0,NA,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1
"1404",0,0,NA,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"1405",0,0,0,NA,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
"1406",0,0,1,0,NA,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"1407",0,1,0,0,0,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1408",0,1,0,0,0,0,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
"1409",0,1,0,0,0,1,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
"1410",1,1,1,0,0,1,0,0,NA,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
"1411",0,1,0,0,0,0,0,0,0,NA,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1413",0,0,1,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1
"1414",0,1,0,0,0,1,0,1,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"1416",1,1,0,1,0,0,1,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1417",0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1419",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"1420",1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"1421",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
"1422",0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,NA,0,0,0,0,0,0,1,0,1,0,1,1,1,1
"1423",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
"1424",0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,NA,0,0,0,1,1,0,1,0,1,1,0,1
"1425",0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0
"1426",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"1427",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"1428",0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,NA,1,0,1,0,1,1,1,0
"1429",1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,NA,0,1,0,1,1,1,1
"1430",0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,NA,1,0,1,1,0,1
"1431",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,0,1,1,1,0
"1432",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0
"1433",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,0,0,0
"1434",1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,NA,1,0
"1435",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,NA,0
"1488",0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,NA
