"","X1502","X1503","X1504","X1505","X1506","X1507","X1508","X1509","X1511","X1512","X1513","X1515","X1516","X1517","X1518","X1519","X1520","X1521","X1522","X1523","X1524","X1525","X1526","X1528","X1529","X1530","X1531","X1551","X1561","X1562"
"1502",NA,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1
"1503",1,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1504",0,1,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1505",1,0,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"1506",1,1,0,0,NA,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0
"1507",1,1,0,0,1,NA,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1508",1,1,1,0,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
"1509",1,1,0,0,1,0,1,NA,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
"1511",1,1,0,0,1,0,1,1,NA,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1
"1512",1,1,1,0,1,0,1,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1513",0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"1515",0,0,0,0,0,0,0,0,1,0,0,NA,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1516",0,1,1,1,1,0,0,0,0,0,0,0,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"1517",1,1,1,1,0,0,1,0,0,1,0,0,0,NA,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
"1518",1,1,1,0,1,0,0,1,1,1,1,0,0,1,NA,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1
"1519",1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,NA,0,1,1,0,0,1,0,1,1,0,1,0,0,1
"1520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,0,0,0,0,0
"1521",0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,NA,0,1,0,0,0,0,0,0,1,0,0,0
"1522",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,NA,1,1,1,0,0,0,1,1,0,0,1
"1523",1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,NA,0,0,0,0,0,0,0,0,0,1
"1524",1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,NA,0,0,0,0,0,0,0,0,0
"1525",1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,NA,1,1,1,0,0,1,1,0
"1526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"1528",0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,NA,0,0,1,0,0,1
"1529",1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,NA,0,1,0,0,1
"1530",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"1531",0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,1
"1551",1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,NA,0,1
"1561",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
"1562",1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA
