"","X2006","X2008","X2010","X2011","X2012","X2013","X2017","X2019","X2023","X2051","X2052","X2061","X2091","X2093"
"2006",NA,0,0,0,0,0,0,0,1,0,0,0,0,0
"2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010",0,0,NA,1,0,0,0,0,0,0,0,0,0,0
"2011",0,0,1,NA,0,0,0,0,0,0,0,0,0,0
"2012",1,1,0,0,NA,1,1,1,0,0,0,0,1,1
"2013",0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2017",0,1,0,0,1,0,NA,0,0,0,1,0,1,1
"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023",1,0,1,0,0,1,0,1,NA,0,0,1,0,0
"2051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2093",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
