"","X2101","X2103","X2104","X2105","X2106","X2107","X2108","X2109","X2110","X2111","X2112","X2115","X2116","X2117","X2119","X2120","X2122","X2123","X2125","X2127","X2151","X2152","X2161","X2162","X2163","X2191","X2412"
"2101",NA,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1
"2103",1,NA,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1
"2104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2106",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"2107",0,0,0,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2108",0,0,0,0,0,0,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"2109",0,1,0,0,0,1,0,NA,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"2110",0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2111",0,0,0,0,0,1,0,1,0,NA,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"2112",1,1,0,1,0,1,0,1,1,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"2115",1,1,0,1,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
"2116",0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2117",0,1,0,0,0,1,1,0,0,0,0,1,1,NA,1,0,1,1,0,0,0,0,0,0,0,0,0
"2119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2120",0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,NA,0,0,0,1,1,1,1,0,0,0,0
"2122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2123",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
"2125",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"2127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"2151",1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,1
"2152",0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0
"2161",0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"2162",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0
"2163",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,NA,0,0
"2191",1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0
"2412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
