"","X5301","X5302","X5303","X5304","X5305","X5306","X5307","X5308","X5310","X5311","X5312","X5313","X5314","X5315","X5316","X5317","X5318","X5319","X5320"
"5301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5303",0,0,NA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"5304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5305",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5307",0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"5308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5310",1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"5311",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"5312",1,1,0,1,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0
"5313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5314",1,0,1,0,1,1,1,0,0,0,1,0,NA,1,0,0,1,0,1
"5315",0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,1
"5316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"5317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5319",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1
"5320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
