"","X6401","X6402","X6403","X6404","X6405","X6406","X6407","X6408","X6409","X6410","X6411","X6412","X6413","X6414","X6415","X6416","X6417","X6418","X6419","X6420","X6421","X6422","X6423","X6424","X6425","X6426","X6427","X6428","X6429","X6430","X6431","X6432","X6433","X6434","X6435","X6436"
"6401",NA,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
"6402",1,NA,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
"6403",1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
"6404",0,0,1,NA,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1
"6405",1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6406",1,0,1,1,1,NA,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
"6407",1,0,1,1,1,0,NA,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
"6408",0,1,1,1,0,0,0,NA,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6409",0,0,0,0,0,0,1,0,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"6410",1,0,1,1,1,1,1,0,1,NA,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1
"6411",1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6413",0,0,1,0,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6414",0,1,1,1,1,0,0,0,1,1,1,0,1,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6415",1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6416",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6417",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,NA,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
"6418",1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"6419",0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,NA,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
"6420",0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1
"6421",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6422",1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,NA,1,0,0,1,1,0,1,0,1,0,1,0,1,1
"6423",0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,0,0,0,1,1,0,0,0,0,0,0,0,0
"6424",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
