"","X6101","X6102","X6103","X6104","X6105","X6106","X6107","X6108","X6109","X6110","X6111","X6113","X6116","X6117","X6118","X6121","X6122","X6123","X6125","X6126","X6128","X6129","X6133","X6170"
"6101",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6102",0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6103",0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"6104",0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6105",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6106",0,1,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6107",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6108",0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6109",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6110",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6111",0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"6113",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"6116",0,1,0,0,0,1,1,1,0,1,1,1,NA,0,0,0,1,0,1,0,0,0,1,0
"6117",0,0,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
"6118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0
"6121",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,0,0
"6122",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0
"6123",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1
"6125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"6126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0
"6128",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"6129",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1
"6133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"6170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
