"","X7101","X7104","X7105","X7108","X7112","X7113","X7116","X7117","X7120","X7124","X7128","X7129","X7131","X7160","X7161","X7170","X7171"
"7101",NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"7104",0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7105",0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"7108",0,1,1,NA,0,0,0,0,1,0,1,0,0,0,0,0,0
"7112",0,1,1,0,NA,1,0,1,0,0,0,0,0,0,0,0,0
"7113",0,0,0,0,0,NA,0,1,0,0,0,1,0,0,0,0,1
"7116",0,0,1,0,0,0,NA,0,1,0,0,1,0,0,1,0,0
"7117",0,1,1,0,1,0,0,NA,0,0,0,1,0,0,0,0,0
"7120",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"7124",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"7128",0,0,1,0,1,0,0,0,0,1,NA,0,0,0,0,0,0
"7129",0,1,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"7131",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"7160",0,1,1,0,1,0,0,0,1,0,0,0,0,NA,0,1,0
"7161",0,0,0,1,1,0,0,0,0,1,1,0,0,0,NA,0,0
"7170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"7171",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
