"","X2102","X2312","X2506","X2510","X2511","X2512","X2514","X2525","X2529","X2632","X2701","X2715","X2727","X2912","X2913","X2915","X2964","X9801","X9802","X9803","X9804","X9805","X9807"
"2102",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2506",0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2510",0,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2511",0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"2512",0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2525",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2529",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2701",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"2715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2727",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0
"2912",0,0,0,0,1,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,0,0,0
"2913",0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,0,0,0,0,0,0
"2915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
"2964",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
"9801",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,0,0,1,1
"9802",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,1,1
"9803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9805",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,NA,1
"9807",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,NA
