"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1","Kreuzgasse 36 1180 Austria",48.2232987,16.3384688,48.2232487,48.2233487,16.3384188,16.3385188
"2","Landstrasse 35b 4020 Austria",48.3011623,14.2907225,48.3011123,48.3012123,14.2906725,14.2907725
"3","Schleifgasse 7 1210 Austria",48.2600718,16.4011226,48.2600218,48.2601218,16.4010726,16.4011726
"4","Krottenbachstrasse 106 1190 Austria",48.2430584,16.3274141,48.242981,48.2431993,16.3273161,16.3275402
"5","Keplerstrasse 4 4070 Austria",48.3100684,14.0245078,48.3099252,48.3102093,14.0243682,14.0246297
"6","Johann-Offner-Strasse 1 9400 Austria",46.8388412,14.8457198,46.8387912,46.8388912,14.8456698,14.8457698
"7","Rennweg 7a 6020 Austria",47.2764546,11.3987969,47.2764046,47.2765046,11.3987469,11.3988469
"8","Alsegger Strasse 26 1180 Austria",48.231453,16.3244891,48.231403,48.231503,16.3244391,16.3245391
"9","Hoettinger Gasse 16 6020 Austria",47.2703179,11.3881731,47.2702192,47.2703949,11.3880167,11.3883012
"10","Kranzmayerstrasse 49 9020 Austria",46.6120803,14.2747585,46.6119962,46.6121556,14.2746299,14.2748846
"11","Franz-Schwabl-Gasse 42 2500 Austria",48.014331,16.2470919,48.0142523,48.0144098,16.2469768,16.2472071
"12","Hauptplatz 1 4320 Austria",48.2140811,14.4793753,48.214029,48.2141334,14.4792949,14.4794557
"13","Hauptstrasse 2 7132 Austria",48.3350224,15.9455304,48.3326055,48.3383629,15.9454532,15.9456963
"14","Stuckgasse 16 1070 Austria",48.2039528,16.3505245,48.2039028,48.2040028,16.3504745,16.3505745
"15","Unterzellerstrasse 19 3340 Austria",47.9655192,14.7722142,47.9653914,47.9656317,14.7720583,14.7723917
"16","Gerichtswiese 26 7122 Austria",47.9039605,16.8933188,47.9038881,47.9040403,16.8931519,16.893478
"17","Florianistrasse 7 6170 Austria",48.1789325,12.9647396,48.1788388,48.1790078,12.9645989,12.9648804
"18","Maroltingergasse 54 1160 Austria",48.2090864,16.3052644,48.2090364,48.2091364,16.3052144,16.3053144
"19","Helga-Krismer-Platz 1 6020 Austria",47.2662675,11.4341081,47.2659569,47.266578,11.4339593,11.4342569
"20","Ameisgasse 43 1140 Austria",48.1941338,16.2993922,48.1940838,48.1941838,16.2993422,16.2994422
"21","Dr. Karl-Renner-Strasse 14 4470 Austria",48.2433777,14.2491734,48.2433066,48.2434487,14.2490628,14.2492841
"22","Sr.-Bibiana-Blaickner-Strasse 19 6300 Austria",47.4806186,12.056702,47.4805586,47.4806944,12.0565791,12.056825
"23","Tischlerfeld 1 9062 Austria",46.6611776,14.1679961,46.661118,46.6612565,14.1679004,14.1680792
"24","Nisslstrasse 1 4040 Austria",48.3150452,14.2744392,48.3149544,48.3151517,14.2742782,14.2745847
"25","Herrenstrasse 12 4020 Austria",48.3023264,14.2862791,48.3021848,48.3025146,14.2860737,14.2864518
"26","Hernalser Hauptstrasse 20-22 1170 Austria",48.2169334,16.3398904,48.2168834,48.2169834,16.3398404,16.3399404
"27","Borromaeumstrasse 7 5020 Austria",47.8031246,13.0646961,47.8030746,47.8031746,13.0646461,13.0647461
"28","Kundmanngasse 13 1030 Austria",48.2044178,16.3949902,48.2043678,48.2044678,16.3949402,16.3950402
"29","Spitalgasse 10 3500 Austria",48.4101401,15.5990182,48.4100524,48.4102653,15.5988925,15.5992076
"30","Wehrgasse 150 2831 Austria",47.6583769,16.1333001,47.6582957,47.6584887,16.1331863,16.1336796
"31","Robert-Kunz-Strasse 11 4840 Austria",48.0008728,13.6505789,48.0008228,48.0009228,13.6505289,13.6506289
"32","Koppstrasse 38 1160 Austria",48.2074515,16.3289328,48.2074015,48.2075015,16.3288828,16.3289828
"33","Leopoldstrasse 31a 6020 Austria",47.2592463,11.3971896,47.2591776,47.2593181,11.3970613,11.3973181
"34","Rohrach 11 4202 Austria",48.4055594,14.2693393,48.4054082,48.4057171,14.2692128,14.2696733
"35","Ottingweg 85 5580 Austria",47.1278353,13.8058035,47.127768,47.1279026,13.8057252,13.8058818
"36","Schmerlingstrasse 4 6020 Austria",47.263633,11.3916059,47.263583,47.263683,11.3915559,11.3916559
"37","Rechte Bahngasse 28 1030 Austria",48.2001759,16.3845094,48.2001259,48.2002259,16.3844594,16.3845594
"38","Kuebeckgasse 3 1030 Austria",48.2037628,16.3965639,48.2036633,48.2038627,16.3964165,16.3967115
"39","Am Kehlerpark 2 6850 Austria",47.4169702,9.7515408,47.4169202,47.4170202,9.7514908,9.7515908
"40","Claudiastrasse 14 6020 Austria",47.2743917,11.4054344,47.2743071,47.2744929,11.4053213,11.4055397
"41","Lange Gasse 67 1080 Austria",48.2144277,16.3508451,48.2143777,48.2144777,16.3507951,16.3508951
"42","Salvatorgasse 10 1010 Austria",48.2122825,16.3713292,48.2122325,48.2123325,16.3712792,16.3713792
"43","Loewengasse 2 1030 Austria",48.2127359,16.3891154,48.2126859,48.2127859,16.3890654,16.3891654
"44","Gentzgasse 125 1180 Austria",48.2300056,16.3313954,48.2299556,48.2300556,16.3313454,16.3314454
"45","Ottingweg 85 5580 Austria",47.1278353,13.8058035,47.127768,47.1279026,13.8057252,13.8058818
"46","Innsbrucker Strasse 39 6130 Austria",47.342011,11.707454,47.341961,47.342061,11.707404,11.707504
"47","Gumpendorfer Strasse 131 1060 Austria",48.1905657,16.3432342,48.1903637,48.1907851,16.3430293,16.3433441
"48","Pogrelzstrasse 68 Austria",48.2453308,16.4592537,48.2452735,48.2453881,16.4591656,16.4593419
"49","Oberfeldstrasse 85 4800 Austria",48.0049471,13.7086616,48.0048971,48.0049971,13.7086116,13.7087116
"50","Ederstrasse 6 4020 Austria",48.2967474,14.2908608,48.2966715,48.2968266,14.2907447,14.2909565
"51","Loewengasse 2 1030 Austria",48.2127359,16.3891154,48.2126859,48.2127859,16.3890654,16.3891654
"52","Schwedenplatz 2 1010 Austria",48.2112396,16.3781772,48.2111896,48.2112896,16.3781272,16.3782272
"53","Rennweg 1 6020 Austria",47.2688635,11.3948986,47.2688135,47.2689135,11.3948486,11.3949486
"54","Landhausgasse 1 5020 Austria",47.7983433,13.0510913,47.7982933,47.7983933,13.0510413,13.0511413
"55","Burggasse 10 9020 Austria",46.6242615,14.3109154,46.6242115,46.6243115,14.3108654,14.3109654
"56","Franz-Josefs-Kai 21 1010 Austria",48.2116141,16.3764754,48.2115641,48.2116641,16.3764254,16.3765254
"57","Muehletorplatz 1 6800 Austria",47.2361845,9.5957437,47.2361345,47.2362345,9.5956937,9.5957937
"58","Vinzenzgasse 18 1180 Austria",48.2265245,16.3357678,48.2264745,48.2265745,16.3357178,16.3358178
"59","Mariahilfer Strasse 89a 1060 Austria",48.1973893,16.3478821,48.1973393,48.1974393,16.3478321,16.3479321
"60","Klammstrasse 1 4020 Austria",48.3029281,14.2845083,48.3028484,48.3030283,14.284292,14.2847911
"61","Preinsbacherstrasse 5 3300 Austria",48.1238727,14.8735917,48.1238227,48.1239227,14.8735417,14.8736417
"62","Promenade 30 4020 Austria",48.3045165,14.2837854,48.3044041,48.3046198,14.2836346,14.2839352
"63","Untere Donau Strasse 9 1020 Austria",48.2124926,16.3813336,48.2124429,48.2125322,16.3811245,16.3815463
"64","Ramperstorffergasse 8-12 1050 Austria",48.1851051,16.3602833,48.1850551,48.1851551,16.3602333,16.3603333
"65","Dominikanerbastei 21 1010 Austria",48.2111576,16.3798111,48.2111076,48.2112076,16.3797611,16.3798611
"66","Heinzgasse 8 9020 Austria",46.621785,14.3006198,46.6217186,46.6218522,14.3005134,14.3007202
"67","Maximilianstrasse 2 6020 Austria",47.2628163,11.3928823,47.2625424,47.2630282,11.3924904,11.3933903
"68","Bernardgasse 36 1070 Austria",48.2072855,16.3392124,48.2072355,48.2073355,16.3391624,16.3392624
"69","Herrenstrasse 2 4020 Austria",48.30326,14.2857955,48.30321,48.30331,14.2857455,14.2858455
"70","Bockgasse 3 4020 Austria",48.2930043,14.2849133,48.292899,48.2931006,14.2847635,14.285069
"71","Alte Aigner Strasse 41 5026 Austria",47.7769074,13.0829584,47.7768574,47.7769574,13.0829084,13.0830084
"72","Stadtplatz 35 4840 Austria",48.0075396,13.653936,48.0074896,48.0075896,13.653886,13.653986
"73","Lacknergasse 6 1170 Austria",48.2191325,16.3287139,48.2189958,48.2193295,16.3284844,16.3289613
"74","Franz-Wissgrill-Gasse 17 3500 Austria",48.4353454,15.6150528,48.4352822,48.4354114,15.6149892,15.6151651
"75","Kreuzgasse 2 6330 Austria",47.5831582,12.1718592,47.5830152,47.5833121,12.1717174,12.1720013
"76","Welzenegger Zeile 12 9020 Austria",46.62887,14.3271159,46.62882,46.62892,14.3270659,14.3271659
"77","Schulgasse 1 6850 Austria",47.3663149,9.6881802,47.3662072,47.3664225,9.6880215,9.688339
"78","Kuefsteingasse 4 1140 Austria",48.1993687,16.3150009,48.1993187,48.1994187,16.3149509,16.3150509
"79","Fasholdgasse 3 1130 Austria",48.1847393,16.2992327,48.1846893,48.1847893,16.2991827,16.2992827
"80","Hasnerstrasse 9 4020 Austria",48.285785,14.2994543,48.2856537,48.2858577,14.2993063,14.2996206
"81","Obere Donaustrasse 97-99 1020 Austria",48.212926,16.3781271,48.212876,48.212976,16.3780771,16.3781771
"82","Strohgasse 8 1030 Austria",48.1985146,16.3861385,48.1983683,48.1986511,16.385982,16.3862906
"83","Schlachthausgasse 34 1030 Austria",48.1930752,16.4041463,48.1929172,48.193235,16.4037232,16.404257
"84","Linzer Gasse 74 5020 Austria",47.8044826,13.0492526,47.8044326,47.8045326,13.0492026,13.0493026
"85","Dreistetten 102 2721 Austria",47.850582,16.144203,47.850532,47.850632,16.144153,16.144253
"86","Wickenburggasse 15 1080 Austria",48.2134031,16.3538456,48.2133531,48.2134531,16.3537956,16.3538956
"87","Bergstrasse 12 5020 Austria",47.8038495,13.0458343,47.8037995,47.8038995,13.0457843,13.0458843
"88","Preuenhueberstrasse 2 4400 Austria",48.0385424,14.4161168,48.0384429,48.0386524,14.4159105,14.4163229
"89","Ernst-Melchior-Gasse 10 1020 Austria",48.2254174,16.3948674,48.2253674,48.2254674,16.3948174,16.3949174
"90","Hauptplatz 35 4910 Austria",48.2098315,13.48852,48.2097815,48.2098815,13.48847,13.48857
"91","Fabrikstrasse 32 4040 Austria",48.3097491,14.2945808,48.3095893,48.309929,14.2943373,14.2948968
"92","Floridusgasse 64 1210 Austria",48.248216,16.4147612,48.2479822,48.2484474,16.4145754,16.4148858
"93","Gonzagagasse 5 1010 Austria",48.2135063,16.3728147,48.2134563,48.2135563,16.3727647,16.3728647
"94","Hofberg 10 4020 Austria",48.3059916,14.2841452,48.3058724,48.3060625,14.2840088,14.2842785
"95","Brunnenplatz 3 7210 Austria",47.7383782,16.4004732,47.7382147,47.7385285,16.4001709,16.4007951
"96","Rettenbachstrasse 12 6114 Austria",47.5083353,12.1193983,47.5082501,47.5084204,12.1192723,12.1195243
"97","Alsegger Strasse 26 1180 Austria",48.231453,16.3244891,48.231403,48.231503,16.3244391,16.3245391
"98","Sophiengasse 7 9073 Austria",46.5881436,14.2771649,46.5880936,46.5881936,14.2771149,14.2772149
"99","Universitaetsstrasse 65-67 9020 Austria",46.61598,14.2648251,46.6158912,46.6160704,14.2646899,14.2649601
"100","Hoher Markt 18 4910 Austria",48.2085459,13.4858438,48.2084959,48.2085959,13.4857938,13.4858938
